t-000001,20000,XOF,PERSONAL_ID,8884191054
t-000002,1000,XOF,PERSONAL_ID,0231397586
t-000003,500,XOF,PERSONAL_ID,6934235077
t-000004,100,XOF,PERSONAL_ID,9368482395
t-000005,500,XOF,PERSONAL_ID,3948329914
t-000006,2500,XOF,PERSONAL_ID,4329208405
t-000007,100,XOF,PERSONAL_ID,0771818770
t-000008,10000,XOF,PERSONAL_ID,0171529544
t-000009,50000,XOF,PERSONAL_ID,4539151898
t-000010,2500,XOF,PERSONAL_ID,9087621504
t-000011,15000,XOF,PERSONAL_ID,0070474540
t-000012,5000,XOF,PERSONAL_ID,5803867225
t-000013,10000,XOF,PERSONAL_ID,5594968251
t-000014,20000,XOF,PERSONAL_ID,8734521371
t-000015,1000,XOF,PERSONAL_ID,3772308088
t-000016,7500,XOF,PERSONAL_ID,9876169082
t-000017,50000,XOF,PERSONAL_ID,2777655741
t-000018,500,XOF,PERSONAL_ID,8854610187
t-000019,100,XOF,PERSONAL_ID,7265771538
t-000020,5000,XOF,PERSONAL_ID,3441364398
t-000021,15000,XOF,PERSONAL_ID,1714834263
t-000022,15000,NGN,PERSONAL_ID,3953384907
t-000023,10000,XOF,PERSONAL_ID,0507687611
t-000024,15000,XOF,PERSONAL_ID,4621439752
t-000025,5000,XOF,PERSONAL_ID,9499590047
t-000026,500,XOF,PERSONAL_ID,0315793164
t-000027,500,XOF,PERSONAL_ID,8339295278
t-000028,250,XOF,PERSONAL_ID,9763277603
t-000029,20000,XOF,PERSONAL_ID,0862878041
t-000030,15000,XOF,PERSONAL_ID,1932010596
t-000031,1000,XOF,PERSONAL_ID,6839623034
t-000032,1000,XOF,PERSONAL_ID,4714171451
t-000033,7500,XOF,PERSONAL_ID,2285675289
t-000034,50000,XOF,PERSONAL_ID,4119393915
t-000035,7500,XOF,PERSONAL_ID,3800790735
t-000036,10000,XOF,PERSONAL_ID,9824493180
t-000037,7500,XOF,PERSONAL_ID,0469765385
t-000038,250,XOF,PERSONAL_ID,5821074311
t-000039,2500,XOF,PERSONAL_ID,3501356024
t-000040,50000,XOF,PERSONAL_ID,1172819737
t-000041,15000,XOF,PERSONAL_ID,1939436702
t-000042,1000,XOF,PERSONAL_ID,8449354209
t-000043,2500,XOF,PERSONAL_ID,0884283403
t-000044,500,XOF,PERSONAL_ID,7627432681
t-000045,5000,XOF,PERSONAL_ID,9493899745
t-000046,1000,XOF,PERSONAL_ID,5316885535
t-000047,10000,XOF,PERSONAL_ID,4945692763
t-000048,20000,XOF,PERSONAL_ID,5900055579
t-000049,2500,XOF,PERSONAL_ID,7932594758
t-000050,20000,XOF,PERSONAL_ID,9024290040
t-000051,7500,XOF,PERSONAL_ID,3767336674
t-000052,250,XOF,PERSONAL_ID,0988883335
t-000053,2500,XOF,PERSONAL_ID,5662458658
t-000054,1000,XOF,PERSONAL_ID,7423999964
t-000055,1000,XOF,PERSONAL_ID,2322169835
t-000056,7500,XOF,PERSONAL_ID,8544814283
t-000057,50000,XOF,PERSONAL_ID,2731327787
t-000058,500,XOF,PERSONAL_ID,2972525733
t-000059,5000,XOF,PERSONAL_ID,7366197984
t-000060,250,XOF,PERSONAL_ID,9869695800
t-000061,100,XOF,PERSONAL_ID,8043516573
t-000062,250,XOF,PERSONAL_ID,4398216355
t-000063,15000,XOF,PERSONAL_ID,1151006576
